SARKOZY, ANDRAS: 62:
HAJNAL, ANDRAS: 56:
FAUDREE, RALPH JASPER, JR.: 50:
SCHELP, RICHARD HERBERT: 42:
SOS, VERA TURAN: 35:
ROUSSEAU, CECIL CLYDE, JR.: 35:
RENYI, ALFRED A.: 32:
TURAN, PAL: 30:
SZEMEREDI, ENDRE: 29:
GRAHAM, RONALD LEWIS: 28:
BURR, STEFAN ANDRUS: 27:
SPENCER, JOEL HAROLD: 23:
POMERANCE, CARL BERNARD: 23:
SIMONOVITS, MIKLOS: 21:
PACH, JANOS: 21:
STRAUS, ERNST GABOR: 20:
NICOLAS, JEAN-LOUIS: 19:
NATHANSON, MELVYN BERNARD: 19:
RADO, RICHARD: 18:
BOLLOBAS, BELA: 18:
MILNER, ERIC CHARLES: 15:
GYARFAS, ANDRAS: 15:
SELFRIDGE, JOHN LEWIS: 14:
PIRANIAN, GEORGE: 14:
HALL, RICHARD ROXBY: 14:
CHUNG, FAN RONG KING (GRAHAM): 14:
JOO, ISTVAN: 12:
TUZA, ZSOLT: 11:
RODL, VOJTECH: 11:
REDDY, A. R.: 11:
REVESZ, PAL: 10:
FUREDI, ZOLTAN: 10:
ROTHSCHILD, BRUCE LEE:  9:
GALLAI, TIBOR* (GRUNWALD, TIBOR):  9:
FISHBURN, PETER CLINGERMAN:  9:
PURDY, GEORGE BARRY:  8:
IVIC, ALEKSANDAR P.:  8:
DVORETZKY, ARYEH:  8:
DUKE, RICHARD ALTER:  8:
ALAVI, YOUSEF:  8:
VERTESI, PETER O. H.:  7:
TENENBAUM, GERALD:  7:
TAYLOR, SAMUEL JAMES:  7:
ROGERS, CLAUDE AMBROSE:  7:
ORDMAN, EDWARD THORNE:  7:
LUCZAK, TOMASZ:  7:
LOVASZ, LASZLO:  7:
KLEITMAN, DANIEL J.:  7:
KATAI, IMRE:  7:
KAKUTANI, SHIZUO:  7:
EGGLETON, ROGER BENJAMIN:  7:
DAVENPORT, HAROLD:  7:
SZALAY, MIHALY:  6:
NIVEN, IVAN MORTON:  6:
HERZOG, FRITZ:  6:
GALVIN, FREDERICK WILLIAM:  6:
FRANKL, PETER:  6:
DE BRUIJN, NICOLAAS GOVERT:  6:
BROWN, WILLIAM GORDON:  6:
SZEKERES, GEORGE:  5:
RUZSA, IMRE Z.:  5:
RICHMOND, LAWRENCE BRUCE:  5:
NEWMAN, DONALD JOSEPH:  5:
MEIR, AMRAM:  5:
MAULDIN, RICHARD DANIEL:  5:
LARSON, JEAN ANN:  5:
KAC, MARK:  5:
FAJTLOWICZ, SIEMION:  5:
CHEN, GUANTAO:  5:
CHARTRAND, GARY THEODORE:  5:
BATEMAN, PAUL TREVIER:  5:
ALON, NOGA MORDECHAI:  5:
ALLADI, KRISHNASWAMI:  5:
SZABADOS, JOZSEF:  4:
SURANYI, JANOS:  4:
STEWART, CAMERON LEIGH:  4:
STATON, WILLIAM ALFRED, III:  4:
SCHWENK, ALLEN JOHN CARL:  4:
SCHONHEIM, JOHANAN:  4:
POSA, LAJOS:  4:
